player_id,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8465009,2021,3.06,2.94,8,4,81,33,58,172,14,2,5,79,0,125,14
8466138,2021,4,3.88,3,2,26,9,9,44,10,5,4,21,77,21,18
8469455,2021,11.07,9.75,9,4,97,34,44,175,25,12,7,85,305,31,32
8470281,2021,3.11,3.04,10,10,79,33,63,175,21,1,5,78,0,22,36
8470600,2021,6.86,6.22,6,19,118,65,82,265,32,7,12,111,0,46,19
8470604,2021,22.52,20.81,15,11,200,45,70,315,45,19,18,181,648,99,33
8470606,2021,14.71,13.71,9,10,146,50,42,238,28,9,10,137,2,88,13
8470610,2021,16.98,16.94,15,5,138,42,23,203,35,15,12,123,28,60,27
8470612,2021,8.4,8.1,20,14,104,44,44,192,37,3,7,101,546,89,35
8470613,2021,9.2,8.9,25,19,203,90,153,446,54,10,18,193,0,55,68
8470619,2021,8.03,7.81,5,5,87,22,13,122,21,11,6,76,165,95,20
8470621,2021,25.11,23.83,17,4,153,53,36,242,40,19,15,134,2,73,19
8470626,2021,7.24,6.88,8,8,81,23,18,122,19,3,8,78,20,17,22
8470638,2021,31.5,29.87,19,21,293,76,58,427,65,25,25,268,991,78,37
8470755,2021,3.49,3.37,2,2,31,17,21,69,8,4,2,27,139,59,7
8470775,2021,3.07,3.04,2,0,23,12,6,41,3,1,2,22,160,49,8
8470794,2021,30.73,29.66,30,24,216,96,62,374,81,27,19,189,394,104,35
8470966,2021,5.76,5.47,15,12,151,70,127,348,35,8,10,143,0,75,19
8471214,2021,36.37,34.36,23,17,334,134,174,642,90,50,18,284,4,155,32
8471215,2021,14.65,13.64,10,12,129,29,45,203,42,20,13,109,164,21,41
8471217,2021,8.46,8.21,2,3,57,23,27,107,12,7,5,50,7,68,17
8471218,2021,21.04,20.53,24,19,167,43,53,263,60,17,11,150,4,62,32
8471228,2021,14.47,13.56,13,5,92,56,41,189,22,4,10,88,10,43,30
8471260,2021,0.14,0.14,0,0,2,0,3,5,1,1,0,1,1,13,1
8471274,2021,3.56,3.38,11,17,80,28,65,173,30,2,7,78,0,56,6
8471284,2021,0.83,0.84,1,2,26,9,18,53,4,1,2,25,0,15,3
8471303,2021,2.48,2.26,7,9,54,26,39,119,19,3,5,51,0,56,9
8471669,2021,21.94,21.51,14,10,141,31,24,196,45,21,9,120,267,27,38
8471675,2021,26.02,24.99,31,22,208,64,62,334,84,31,20,177,760,50,34
8471677,2021,2.58,2.51,5,7,67,30,52,149,14,2,5,65,0,108,12
8471685,2021,20.76,19.93,29,19,210,70,73,353,67,19,15,191,858,72,48
8471686,2021,3.84,3.63,6,7,76,28,37,141,16,3,6,73,0,94,13
8471698,2021,11.66,10.6,6,8,77,36,25,138,25,11,8,66,72,86,19
8471699,2021,7.49,7.37,7,5,75,29,24,128,16,4,4,71,8,104,29
8471707,2021,2.46,2.4,0,2,31,6,8,45,4,2,2,29,0,17,2
8471709,2021,2.38,2.36,5,6,63,36,46,145,14,3,6,60,0,54,17
8471724,2021,9.69,9.54,34,24,214,58,131,403,68,10,15,204,0,171,59
8471729,2021,1.4,1.37,3,4,34,11,21,66,9,2,1,32,0,33,3
8471735,2021,4.27,4.06,5,13,105,43,85,233,19,1,8,104,0,29,11
8471794,2021,9.37,9.21,5,3,93,22,31,146,15,7,1,86,103,114,25
8471817,2021,4.66,4.64,3,5,44,15,14,73,13,5,5,39,5,279,11
8471873,2021,4.21,3.99,7,8,95,26,60,181,23,8,7,87,0,99,32
8471887,2021,16.54,15.38,9,8,165,39,36,240,28,11,26,154,8,112,24
8472382,2021,1.83,1.78,5,3,52,34,40,126,10,2,2,50,0,39,14
8473415,2021,0.03,0.02,0,0,2,1,1,4,0,0,0,2,0,5,0
8473419,2021,26.52,25.76,29,19,242,64,91,397,80,32,23,210,14,78,40
8473422,2021,7.34,6.97,7,4,99,29,21,149,13,2,6,97,22,164,22
8473446,2021,5.62,5.59,4,9,129,30,77,236,20,7,9,122,0,148,33
8473449,2021,13.52,13.29,8,16,174,67,63,304,45,21,8,153,92,59,24
8473453,2021,9.78,9.68,3,7,108,45,27,180,16,6,6,102,77,176,11
8473463,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
8473473,2021,11.68,11.34,7,4,95,44,32,171,21,10,8,85,19,209,20
8473504,2021,6.97,6.89,1,8,74,21,18,113,15,6,2,68,11,229,21
8473507,2021,4.57,4.32,9,12,124,36,106,266,27,6,7,118,0,140,12
8473512,2021,17.46,17.09,19,25,205,63,71,339,65,21,17,184,733,68,28
8473533,2021,22.38,21.56,10,9,146,61,27,234,36,17,17,129,736,212,34
8473544,2021,6.25,6.02,7,4,62,8,21,91,19,8,4,54,169,82,10
8473548,2021,16.11,15.4,24,20,175,55,80,310,52,8,20,167,4,6,39
8473563,2021,7.4,6.66,12,13,68,30,23,121,31,6,3,62,301,16,25
8473604,2021,13.12,12.25,15,10,125,33,30,188,37,12,9,113,788,25,48
8473618,2021,3.63,3.46,3,2,27,8,11,46,9,4,0,23,36,35,10
8473986,2021,23.13,22.44,19,15,164,60,49,273,59,25,9,139,2,88,42
8473994,2021,23.58,20.95,14,14,182,68,67,317,46,18,19,164,492,143,37
8474009,2021,13.86,13.2,5,5,137,44,30,211,26,16,15,121,475,34,50
8474013,2021,2.78,2.74,6,11,77,44,59,180,19,2,8,75,0,110,29
8474027,2021,2.43,2.33,5,7,73,32,55,160,18,6,4,67,0,87,16
8474031,2021,7.01,6.84,13,14,163,51,81,295,35,8,7,155,0,73,38
8474034,2021,12.86,12.49,7,9,102,35,19,156,27,11,9,91,15,160,16
8474037,2021,28,24.7,8,6,187,58,40,285,38,24,24,163,10,34,30
8474038,2021,3.55,3.4,1,2,33,4,6,43,7,4,5,29,33,66,9
8474040,2021,11.59,11.06,13,5,132,26,27,185,31,13,11,119,142,21,24
8474053,2021,23.25,22.09,21,12,199,61,54,314,56,23,16,176,621,92,62
8474056,2021,4.41,4.18,8,9,114,58,92,264,22,5,7,109,0,69,23
8474062,2021,4.48,4.34,3,1,36,20,8,64,4,0,3,36,207,46,18
