player_id,season,games_played,penalty_minutes,ice_time,game_score,shifts
8465009,2021,72,65,80921,4.02,1676
8466138,2021,34,10,22735,9.79,521
8469455,2021,71,26,45778,26.46,1135
8470281,2021,64,22,75751,29.62,1490
8470600,2021,82,40,116385,34.5,2185
8470604,2021,76,38,80579,41.84,1795
8470606,2021,64,20,56595,33.79,1235
8470610,2021,82,28,75198,33.31,1720
8470612,2021,56,29,63699,33.22,1286
8470613,2021,82,42,128642,41.61,2441
8470619,2021,66,27,42724,22.88,1033
8470621,2021,82,56,66516,45.13,1412
8470626,2021,73,6,56591,8.96,1377
8470638,2021,73,32,79585,101.69,1682
8470755,2021,44,35,27198,4.41,682
8470775,2021,33,11,23700,-1.45,641
8470794,2021,82,14,90892,86.32,1989
8470966,2021,75,47,93960,44.68,1930
8471214,2021,77,18,95042,90.8,1680
8471215,2021,41,24,45091,42.5,885
8471217,2021,51,37,43208,4.42,987
8471218,2021,65,36,76201,52.85,1461
8471228,2021,71,30,60052,20.73,1279
8471260,2021,6,4,4129,0.81,118
8471274,2021,72,34,81784,40.1,1605
8471284,2021,32,16,26332,0.4,588
8471303,2021,41,34,45418,29.2,918
8471669,2021,71,14,75756,49.74,1569
8471675,2021,69,32,82694,86.95,1691
8471677,2021,82,34,82251,15.67,1852
8471685,2021,81,14,100940,77.22,1980
8471686,2021,71,28,74225,10.85,1589
8471698,2021,44,18,46070,23.58,895
8471699,2021,74,20,56254,5.77,1536
8471707,2021,19,0,13639,5.46,295
8471709,2021,75,18,68469,2.92,1598
8471724,2021,78,49,120638,70.85,2147
8471729,2021,31,4,28719,10.65,612
8471735,2021,77,14,64583,8.67,1467
8471794,2021,68,14,43049,16.01,1037
8471817,2021,69,43,44088,-3.7,976
8471873,2021,74,12,94747,11.68,1859
8471887,2021,65,19,49493,41.73,1098
8472382,2021,69,10,72083,0.3,1634
8473415,2021,2,0,1574,0,38
8473419,2021,70,77,80855,98.82,1583
8473422,2021,64,61,47860,19.57,1073
8473446,2021,69,22,71949,30.12,1647
8473449,2021,74,43,74489,38.44,1619
8473453,2021,80,12,61591,20.62,1502
8473463,2021,1,2,650,-0.54,20
8473473,2021,82,64,60302,25.76,1429
8473504,2021,59,10,49708,11.47,1253
8473507,2021,68,36,90254,30.1,1669
8473512,2021,75,26,85732,75.13,1863
8473533,2021,78,18,77838,56.22,1804
8473544,2021,46,16,35627,16.43,864
8473548,2021,82,30,82055,32.33,1725
8473563,2021,47,12,49324,20.83,949
8473604,2021,71,39,74445,33.02,1649
8473618,2021,25,4,16882,6.99,377
8473986,2021,82,66,91989,55.12,1890
8473994,2021,82,78,82396,37.43,1989
8474009,2021,80,18,80159,13.02,1876
8474013,2021,75,73,77184,35.28,1618
8474027,2021,69,36,80923,13.07,1813
8474031,2021,82,36,105372,28.47,2066
8474034,2021,81,94,60245,29.5,1293
8474037,2021,82,25,79273,34.08,1742
8474038,2021,27,2,20413,3.79,491
8474040,2021,81,32,66194,24.45,1454
8474053,2021,77,18,87469,51.65,2023
8474056,2021,77,62,84528,26.15,1755
8474062,2021,49,10,33597,0.52,800
8474066,2021,2,0,2337,-0.8,48
8474068,2021,23,4,11898,3.14,257
8474089,2021,8,2,3974,1.37,108
8474090,2021,45,36,37579,19.43,855
8474098,2021,35,16,19894,6.61,447
8474102,2021,67,38,68285,54.75,1385
8474141,2021,78,18,102133,83.93,1798
8474145,2021,73,36,60170,5.58,1608
8474149,2021,78,18,74048,53.09,1556
8474150,2021,82,30,84222,60.93,1898
8474151,2021,71,16,95610,26.42,1821
8474157,2021,39,23,40666,43.35,794
8474161,2021,79,24,82757,47.64,1615
8474162,2021,47,16,58450,19.83,1244
8474166,2021,26,4,30483,13.3,623
8474176,2021,53,20,45274,17.26,1081
8474189,2021,72,40,69635,32.84,1494
8474190,2021,72,56,40307,15.93,987
8474207,2021,76,12,90510,16.16,1915
8474291,2021,33,17,27295,-4.59,697
8474563,2021,39,30,60222,40.18,1031
8474564,2021,81,36,89803,97.45,1788
8474565,2021,80,32,118295,65.57,2173
8474567,2021,48,43,44244,5.55,887
8474568,2021,66,61,68151,22.35,1633
8474573,2021,74,6,74990,24.73,1600
8474574,2021,82,66,108130,25.25,2247
8474578,2021,50,14,70411,34.32,1389
8474584,2021,26,4,28480,10.68,616
8474586,2021,79,14,85094,42.07,1688
8474589,2021,57,16,42896,21.94,909
8474590,2021,78,20,111435,68.92,2064
8474600,2021,80,46,122661,97.12,2206
8474602,2021,74,16,75125,27.05,1645
8474610,2021,1,0,368,-0.37,8
8474612,2021,43,14,48622,13.2,1002
8474613,2021,58,14,37569,28.37,918
8474618,2021,70,18,76189,6.6,1892
8474628,2021,11,4,11522,6.9,288
8474641,2021,58,14,60620,43.53,1305
8474673,2021,82,34,104852,36.8,2188
8474679,2021,82,26,87776,38.03,1855
8474683,2021,71,17,60976,21.1,1442
8474688,2021,10,10,8472,1.25,186
8474697,2021,57,111,44869,5.47,1106
8474709,2021,71,60,48733,4.87,1152
8474715,2021,73,10,79920,47.41,1835
8474716,2021,65,10,82485,52.6,1531
8474722,2021,1,0,558,-0.2,13
8474818,2021,39,10,35052,4.97,761
8474849,2021,53,29,38614,3.32,1039
8474870,2021,32,16,24274,0.43,549
8474884,2021,67,32,68509,28.09,1368
8475098,2021,50,14,36493,5.83,836
8475149,2021,69,4,66772,29.71,1379
8475151,2021,69,47,64687,31.54,1429
8475158,2021,78,12,89298,58.8,1850
8475160,2021,25,31,13196,3.87,325
8475163,2021,67,14,46634,23.97,1086
8475164,2021,53,30,54184,16.42,1263
8475166,2021,79,32,85671,78.51,1672
8475167,2021,82,36,123372,90.42,2214
8475168,2021,78,38,88984,84.61,1698
8475169,2021,43,50,50182,43.48,921
8475170,2021,62,33,66145,41.67,1338
8475171,2021,79,52,105758,34.65,2211
8475172,2021,71,61,81958,95.55,1601
8475176,2021,4,0,5473,4.1,117
8475177,2021,69,33,78485,12.63,1717
8475178,2021,58,53,41010,18.09,889
8475179,2021,80,39,87341,30.2,1765
8475181,2021,75,22,96386,9.73,1865
8475184,2021,81,24,91028,76.47,1856
8475186,2021,7,4,7378,-0.18,163
8475188,2021,69,42,81558,27.13,1637
8475191,2021,56,8,59753,47.45,1262
8475193,2021,76,22,67635,34.03,1613
8475197,2021,73,18,83056,42.68,1533
8475200,2021,76,44,95590,46.18,1907
8475208,2021,76,24,99490,23.42,2040
8475209,2021,4,0,3580,1,74
8475218,2021,76,44,107061,34.03,2110
8475220,2021,74,92,72851,45.06,1481
8475225,2021,74,28,64016,50.34,1403
8475227,2021,64,47,57124,21.7,1232
8475231,2021,74,48,61036,8.99,1503
8475233,2021,62,36,77341,4.6,1434
8475235,2021,81,93,55236,6.78,1274
8475236,2021,69,22,56250,2.44,1310
8475246,2021,39,4,30599,2.55,707
8475279,2021,74,48,101449,27.63,1912
8475287,2021,78,47,70637,49.05,1522
8475314,2021,76,34,75841,39.23,1569
8475324,2021,76,21,88215,31.1,1807
8475343,2021,64,44,54769,27.49,1319
8475413,2021,22,2,12665,2.54,325
8475455,2021,79,67,89267,18.13,1916
8475461,2021,1,0,412,0.27,10
8475462,2021,77,95,83234,34.4,1961
8475625,2021,17,6,12895,7.83,286
8475690,2021,82,22,100635,46.15,2450
8475692,2021,70,24,78075,75.89,1327
8475714,2021,66,6,63509,29.04,1472
8475718,2021,69,41,83662,28,1764
8475722,2021,41,15,36458,21.23,739
8475726,2021,74,14,72387,50.95,1687
8475728,2021,43,32,41048,17.13,903
8475735,2021,43,6,28037,-3.18,632
8475744,2021,79,34,96129,69.73,1836
8475745,2021,82,22,85647,42.12,1762
8475747,2021,63,28,62879,-3.65,1364
8475750,2021,69,22,70847,20.97,1410
8475752,2021,40,8,26608,4.09,654
8475753,2021,76,33,105779,50.63,2352
8475754,2021,72,33,76355,51.6,1615
8475760,2021,57,20,35091,13.37,782
8475762,2021,76,38,82633,19.35,1791
8475763,2021,48,16,51620,21.88,1103
8475764,2021,76,14,111338,44.5,2084
8475765,2021,75,22,76101,69.87,1649
8475766,2021,67,81,48206,11.34,1233
8475768,2021,37,14,40974,24.82,837
8475772,2021,69,2,49865,20.49,1217
8475780,2021,1,0,957,0.19,21
8475784,2021,80,32,82098,69.08,1669
8475786,2021,76,36,88760,60.14,1701
8475790,2021,78,68,84892,42.07,2035
8475791,2021,81,42,79761,71.39,1572
8475792,2021,9,5,4534,-0.2,94
8475793,2021,79,53,78520,48.84,1664
8475794,2021,81,30,86598,45.35,1927
8475796,2021,68,16,72693,7.8,1635
8475797,2021,7,7,5427,-0.92,130
8475798,2021,80,33,97990,50.5,1923
8475799,2021,75,24,66779,62.39,1430
8475810,2021,60,14,67573,57.66,1395
8475820,2021,75,14,66767,21.24,1484
8475825,2021,80,33,77800,9.05,1664
8475842,2021,64,85,44034,13.5,1040
8475848,2021,56,49,50462,31.06,1137
8475855,2021,82,4,72868,51.48,1686
8475906,2021,74,34,98608,39.82,1827
8475913,2021,37,8,40722,30.55,798
8475958,2021,10,0,5937,5.38,130
8475968,2021,11,4,6859,1.54,172
8476278,2021,58,4,41530,20.85,987
8476285,2021,5,0,2890,1.01,67
8476288,2021,32,25,26327,2.47,615
8476292,2021,77,20,76190,48.78,1624
8476312,2021,67,65,76290,18.25,1617
8476323,2021,10,10,4860,0.65,113
8476326,2021,8,7,4340,0,110
8476329,2021,74,34,73329,17.23,1692
8476331,2021,76,28,84356,21.5,1764
8476345,2021,24,8,18008,6.65,392
8476346,2021,82,16,91388,126.26,1807
8476368,2021,9,0,5327,0.05,119
8476372,2021,43,29,33742,2.15,817
8476374,2021,77,51,73273,24.13,1676
8476389,2021,81,68,86867,62.95,1727
8476390,2021,1,2,415,0.78,12
8476391,2021,2,0,1301,0.21,31
8476392,2021,79,49,73377,21.71,1744
8476393,2021,68,31,50871,26.2,1082
8476396,2021,2,2,1236,-0.13,31
8476399,2021,81,60,72028,54.7,1720
8476400,2021,17,2,9566,1.33,263
8476404,2021,6,0,3595,0.31,81
8476410,2021,7,2,3876,3.55,97
8476415,2021,5,0,2645,-1.27,68
8476419,2021,77,30,81656,31.99,1845
8476422,2021,70,32,79577,36.68,1735
8476428,2021,7,2,4590,1.53,109
8476429,2021,61,45,72381,18.1,1483
8476432,2021,59,22,72445,38.96,1463
8476436,2021,12,4,10645,1.93,228
8476437,2021,47,2,34391,21.92,710
8476438,2021,78,10,76150,46.62,1644
8476439,2021,41,29,23917,10.41,612
8476441,2021,24,25,28200,3.15,560
8476442,2021,70,19,60495,9.41,1507
8476448,2021,67,10,73493,51.05,1528
8476449,2021,7,6,6078,-1.57,131
8476453,2021,47,22,56352,62.86,1009
8476454,2021,63,16,73023,42.59,1334
8476455,2021,51,58,62172,65.83,1201
8476456,2021,80,34,93324,109.37,1839
8476457,2021,82,55,109622,26.23,2115
8476458,2021,74,59,81365,47.26,1538
8476459,2021,81,12,95415,74.84,1902
8476460,2021,67,23,84958,63.04,1500
8476461,2021,29,14,35475,22.61,739
8476462,2021,62,34,78952,39.63,1536
8476463,2021,73,18,102662,41.35,1824
8476466,2021,1,0,834,-0.68,18
8476467,2021,72,44,83518,22.33,1713
8476468,2021,80,47,101075,92.66,2069
