player_id,season,player_name,position,weight,height,team_abbrev
8475728,2021,Johan Larsson,L,202,71,WSH
8477511,2021,Anthony Mantha,R,225,77,WSH
8474590,2021,John Carlson,D,218,75,WSH
8474176,2021,Carl Hagelin,L,186,71,WSH
8479359,2021,Beck Malenstyn,L,200,75,WSH
8475744,2021,Evgeny Kuznetsov,C,204,74,WSH
8477839,2021,Conor Sheary,L,176,68,WSH
8479536,2021,Axel Jonsson-Fjallby,L,189,73,WSH
8475324,2021,Nick Jensen,D,194,72,WSH
8475200,2021,Dmitry Orlov,D,212,71,WSH
8475343,2021,Nic Dowd,C,197,74,WSH
8481656,2021,Aliaksei Protas,C,225,78,WSH
8474602,2021,Justin Schultz,D,193,74,WSH
8475958,2021,Michael Sgarbossa,C,186,72,WSH
8479482,2021,Michal Kempny,D,194,72,WSH
8481517,2021,Brett Leason,R,218,77,WSH
8480087,2021,Mike Vecchione,R,194,70,WSH
8475149,2021,Marcus Johansson,L,205,73,WSH
8477903,2021,Garnet Hathaway,R,210,74,WSH
8481580,2021,Connor McMichael,C,183,72,WSH
8480823,2021,Alexander Alexeyev,D,213,76,WSH
8476880,2021,Tom Wilson,R,218,76,WSH
8480796,2021,Martin Fehervary,D,200,74,WSH
8477845,2021,Trevor van Riemsdyk,D,192,74,WSH
8471214,2021,Alex Ovechkin,L,235,75,WSH
8471698,2021,T.J. Oshie,R,195,71,WSH
8482148,2021,Hendrix Lapierre,C,180,72,WSH
8473563,2021,Nicklas Backstrom,C,210,73,WSH
8479516,2021,Garrett Pilon,C,190,72,WSH
8474189,2021,Lars Eller,C,207,74,WSH
8475625,2021,Matt Irwin,D,207,73,WSH
8479321,2021,Lucas Johansen,D,176,74,WSH
8481441,2021,Joe Snively,C,176,69,WSH
8475455,2020,Brenden Dillon,D,225,76,WSH
8475200,2020,Dmitry Orlov,D,212,71,WSH
8475744,2020,Evgeny Kuznetsov,C,204,74,WSH
8476880,2020,Tom Wilson,R,218,76,WSH
8475958,2020,Michael Sgarbossa,C,186,72,WSH
8474590,2020,John Carlson,D,218,75,WSH
8477544,2020,Philippe Maillet,C,174,70,WSH
8475343,2020,Nic Dowd,C,197,74,WSH
8477839,2020,Conor Sheary,L,176,68,WSH
8481580,2020,Connor McMichael,C,183,72,WSH
8465009,2020,Zdeno Chara,D,250,81,WSH
8477901,2020,Daniel Carr,L,193,72,WSH
8477903,2020,Garnet Hathaway,R,210,74,WSH
8477290,2020,Michael Raffl,L,200,72,WSH
8479516,2020,Garrett Pilon,C,190,72,WSH
8474176,2020,Carl Hagelin,L,186,71,WSH
8471214,2020,Alex Ovechkin,L,235,75,WSH
8475324,2020,Nick Jensen,D,194,72,WSH
8478466,2020,Daniel Sprong,R,180,72,WSH
8477845,2020,Trevor van Riemsdyk,D,192,74,WSH
8474189,2020,Lars Eller,C,207,74,WSH
8477314,2020,Brian Pinho,C,190,73,WSH
8477511,2020,Anthony Mantha,R,225,77,WSH
8471698,2020,T.J. Oshie,R,195,71,WSH
8474602,2020,Justin Schultz,D,193,74,WSH
8473563,2020,Nicklas Backstrom,C,210,73,WSH
8475958,2019,Michael Sgarbossa,C,186,72,WSH
8476329,2019,Travis Boyd,C,185,71,WSH
8473563,2019,Nicklas Backstrom,C,210,73,WSH
8475343,2019,Nic Dowd,C,197,74,WSH
8476894,2019,Brendan Leipsic,L,179,70,WSH
8478399,2019,Jonas Siegenthaler,D,206,75,WSH
