team_abbrev,team_name,team_city,team_arena
WSH,Washington Capitals,Washington - D.C.,Capital One Arena
WPG,Winnipeg Jets,Winnipeg - Manitoba,Canada Life Centre
VGK,Vegas Golden Knights,Paradise - Nevada,T-Mobile Arena
VAN,Vancouver Canucks,Vancouver - British Columbia,Rogers Arena
TOR,Toronto Maple Leafs,Toronto - Ontario,Scotiabank Arena
TBL,Tampa Bay Lightning,Tampa - Florida,Amalie Arena
STL,St. Louis Blues,St. Louis - Missouri,Enterprise Center
SJS,San Jose Sharks,San Jose - California,SAP Center
SEA,Seattle Kracken,Seattle - Washington,Climate Pledge Arena
PIT,Pittsburgh Penguins,Pittsburgh - Pennsylvania,PPG Paints Arena
PHI,Philadelphia Flyers,Philadelphia - Pennsylvania,Wells Fargo Center
OTT,Ottawa Senators,Ottawa - Ontario,Canadian Tire Centre
NYR,New York Rangers,New York City - New York,Madison Square Garden
NYI,New York Islanders,Brooklyn - New York,Barclays Center
NSH,Nashville Predators,Nashville - Tennessee,Bridgestone Arena
NJD,New Jersey Devils,Newark - New Jersey,Prudential Center
MTL,Montreal Canadiens,Montreal - Quebec,Bell Centre
MIN,Minnesota Wild,Saint Paul - Minnesota,Xcel Energy Center
LAK,Los Angeles Kings,Los Angeles - California,Staples Center
FLA,Florida Panthers,Sunrise - Florida,BB&T Center
EDM,Edmonton Oilers,Edmonton - Alberta,Rogers Place
DET,Detroit Red Wings,Detroit - Michigan,Little Caesars Arena
DAL,Dallas Stars,Dallas - Texas,American Airlines Center
COL,Colorado Avalanche,Denver - Colorado,Pepsi Center
CHI,Chicago Blackhawks,Chicago - Illinois,United Center
CGY,Calgary Flames,Calgary - Alberta,Scotiabank Saddledome
CBJ,Columbus Blue Jackets,Columbus - Ohio,Nationwide Arena
CAR,Carolina Hurricanes,Raleigh - North Carolina,PNC Arena
BUF,Buffalo Sabres,Buffalo - New York,KeyBank Center
BOS,Boston Bruins,Boston - Massachusetts,TD Garden
ATL,Atlanta Thrashers,Atlanta - Georgia,State Farm Arena
ARI,Arizona Coyotes,Glendale - Arizona,Gila River Arena
ANA,Anaheim Ducks,Anaheim - California,Honda Center
